DATA_TYPE COF
VERSION Tekscan 압력 측정 시스템 7.00-23
HARDWARE 00114-A989
MAP_VERSION 8.0
HW_TYPE 7
VersaPogoFsx 0
VersaV6CuffFsx 1
파일 이름 C:\Tekscan\FScan\Database\MOVIES\이재영\03R.fsx
SENSOR_TYPE FSCAN
ROWS 60
COLS 21
ROW_SPACING 0.508 centimeters
COL_SPACING 0.508 centimeters
SENSEL_AREA 0.258064 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.01
MICRO_SECOND 1
TIME 2021-12-09 5:07:15.28오후
SATURATION_PRESSURE 713.825 KPa 
CALIBRATION_POINT_1 179 (Pounds) 11022 (Raw Sum) 474 (Number of Loaded Cells)
CALIBRATION_MODE_1 단계
CALIBRATION_INFO C:\Tekscan\FScan\Database\MOVIES\이재영\03R.fsx
SENSITIVITY 기본
MAP_INDEX 0
SUBMAP 0
START_FRAME 1
END_FRAME 8523
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

1, 0, 2021-12-09 5:07:15.28오후, 18.69, 6.02, 4219
2, 0.01, 2021-12-09 5:07:15.29오후, 18.69, 6.02, 4227
3, 0.02, 2021-12-09 5:07:15.3오후, 18.69, 6.02, 4223
4, 0.03, 2021-12-09 5:07:15.31오후, 18.70, 6.02, 4224
5, 0.04, 2021-12-09 5:07:15.32오후, 18.69, 6.02, 4233
6, 0.05, 2021-12-09 5:07:15.33오후, 18.69, 6.03, 4235
7, 0.06, 2021-12-09 5:07:15.34오후, 18.67, 6.02, 4220
8, 0.07, 2021-12-09 5:07:15.35오후, 18.69, 6.02, 4230
9, 0.08, 2021-12-09 5:07:15.36오후, 18.69, 6.02, 4241
10, 0.09, 2021-12-09 5:07:15.37오후, 18.68, 6.02, 4238
11, 0.1, 2021-12-09 5:07:15.38오후, 18.68, 6.02, 4236
12, 0.11, 2021-12-09 5:07:15.39오후, 18.68, 6.02, 4237
13, 0.12, 2021-12-09 5:07:15.4오후, 18.68, 6.02, 4237
14, 0.13, 2021-12-09 5:07:15.41오후, 18.68, 6.02, 4230
15, 0.14, 2021-12-09 5:07:15.42오후, 18.67, 6.03, 4227
16, 0.15, 2021-12-09 5:07:15.43오후, 18.64, 6.03, 4231
17, 0.16, 2021-12-09 5:07:15.44오후, 18.65, 6.03, 4235
18, 0.17, 2021-12-09 5:07:15.45오후, 18.65, 6.03, 4234
19, 0.18, 2021-12-09 5:07:15.46오후, 18.64, 6.03, 4226
20, 0.19, 2021-12-09 5:07:15.47오후, 18.65, 6.03, 4224
21, 0.2, 2021-12-09 5:07:15.48오후, 18.64, 6.03, 4231
22, 0.21, 2021-12-09 5:07:15.49오후, 18.64, 6.03, 4229
23, 0.22, 2021-12-09 5:07:15.5오후, 18.64, 6.03, 4219
24, 0.23, 2021-12-09 5:07:15.51오후, 18.62, 6.04, 4223
25, 0.24, 2021-12-09 5:07:15.52오후, 18.60, 6.03, 4230
26, 0.25, 2021-12-09 5:07:15.53오후, 18.61, 6.03, 4233
27, 0.26, 2021-12-09 5:07:15.54오후, 18.61, 6.03, 4221
28, 0.27, 2021-12-09 5:07:15.55오후, 18.62, 6.02, 4229
29, 0.28, 2021-12-09 5:07:15.56오후, 18.59, 6.03, 4220
30, 0.29, 2021-12-09 5:07:15.57오후, 18.58, 6.03, 4224
31, 0.3, 2021-12-09 5:07:15.58오후, 18.59, 6.03, 4226
32, 0.31, 2021-12-09 5:07:15.59오후, 18.60, 6.03, 4229
33, 0.32, 2021-12-09 5:07:15.6오후, 18.59, 6.03, 4232
34, 0.33, 2021-12-09 5:07:15.61오후, 18.57, 6.02, 4226
35, 0.34, 2021-12-09 5:07:15.62오후, 18.57, 6.03, 4219
36, 0.35, 2021-12-09 5:07:15.63오후, 18.57, 6.03, 4243
37, 0.36, 2021-12-09 5:07:15.64오후, 18.55, 6.03, 4226
38, 0.37, 2021-12-09 5:07:15.65오후, 18.56, 6.04, 4234
39, 0.38, 2021-12-09 5:07:15.66오후, 18.61, 6.04, 4233
40, 0.39, 2021-12-09 5:07:15.67오후, 18.59, 6.04, 4248
41, 0.4, 2021-12-09 5:07:15.68오후, 18.58, 6.06, 4243
42, 0.41, 2021-12-09 5:07:15.69오후, 18.57, 6.05, 4241
43, 0.42, 2021-12-09 5:07:15.7오후, 18.58, 6.05, 4248
44, 0.43, 2021-12-09 5:07:15.71오후, 18.58, 6.05, 4249
