DATA_TYPE COF
VERSION Tekscan 압력 측정 시스템 7.00-23
HARDWARE 00114-A989
MAP_VERSION 8.0
HW_TYPE 7
VersaPogoFsx 0
VersaV6CuffFsx 1
파일 이름 C:\Tekscan\FScan\Database\MOVIES\이재영\04R.fsx
SENSOR_TYPE FSCAN
ROWS 60
COLS 21
ROW_SPACING 0.508 centimeters
COL_SPACING 0.508 centimeters
SENSEL_AREA 0.258064 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.01
MICRO_SECOND 1
TIME 2021-12-09 5:10:52.432오후
SATURATION_PRESSURE 713.825 KPa 
CALIBRATION_POINT_1 179 (Pounds) 11022 (Raw Sum) 474 (Number of Loaded Cells)
CALIBRATION_MODE_1 단계
CALIBRATION_INFO C:\Tekscan\FScan\Database\MOVIES\이재영\04R.fsx
SENSITIVITY 기본
MAP_INDEX 0
SUBMAP 0
START_FRAME 1
END_FRAME 11770
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

1, 0, 2021-12-09 5:10:52.432오후, 20.62, 5.98, 3766
2, 0.01, 2021-12-09 5:10:52.442오후, 20.61, 5.98, 3758
3, 0.02, 2021-12-09 5:10:52.452오후, 20.65, 5.99, 3767
4, 0.03, 2021-12-09 5:10:52.462오후, 20.60, 5.99, 3771
5, 0.04, 2021-12-09 5:10:52.472오후, 20.56, 5.97, 3763
6, 0.05, 2021-12-09 5:10:52.482오후, 20.55, 6.00, 3730
7, 0.06, 2021-12-09 5:10:52.492오후, 20.55, 5.97, 3749
8, 0.07, 2021-12-09 5:10:52.502오후, 20.45, 5.97, 3765
9, 0.08, 2021-12-09 5:10:52.512오후, 20.47, 5.95, 3753
10, 0.09, 2021-12-09 5:10:52.522오후, 20.49, 5.95, 3750
11, 0.1, 2021-12-09 5:10:52.532오후, 20.45, 5.94, 3756
12, 0.11, 2021-12-09 5:10:52.542오후, 20.49, 5.96, 3743
13, 0.12, 2021-12-09 5:10:52.552오후, 20.47, 5.97, 3733
14, 0.13, 2021-12-09 5:10:52.562오후, 20.46, 5.97, 3742
15, 0.14, 2021-12-09 5:10:52.572오후, 20.40, 5.98, 3761
16, 0.15, 2021-12-09 5:10:52.582오후, 20.41, 5.97, 3757
17, 0.16, 2021-12-09 5:10:52.592오후, 20.37, 5.98, 3768
18, 0.17, 2021-12-09 5:10:52.602오후, 20.30, 5.96, 3786
19, 0.18, 2021-12-09 5:10:52.612오후, 20.36, 6.00, 3761
20, 0.19, 2021-12-09 5:10:52.622오후, 20.29, 5.97, 3779
21, 0.2, 2021-12-09 5:10:52.632오후, 20.29, 5.97, 3779
22, 0.21, 2021-12-09 5:10:52.642오후, 20.26, 5.98, 3777
23, 0.22, 2021-12-09 5:10:52.652오후, 20.22, 5.99, 3798
24, 0.23, 2021-12-09 5:10:52.662오후, 20.24, 6.00, 3792
25, 0.24, 2021-12-09 5:10:52.672오후, 20.21, 5.99, 3804
26, 0.25, 2021-12-09 5:10:52.682오후, 20.18, 5.99, 3805
27, 0.26, 2021-12-09 5:10:52.692오후, 20.16, 5.99, 3807
28, 0.27, 2021-12-09 5:10:52.702오후, 20.15, 6.00, 3816
29, 0.28, 2021-12-09 5:10:52.712오후, 20.15, 6.01, 3812
30, 0.29, 2021-12-09 5:10:52.722오후, 20.11, 6.01, 3817
31, 0.3, 2021-12-09 5:10:52.732오후, 20.10, 6.02, 3802
32, 0.31, 2021-12-09 5:10:52.742오후, 20.08, 6.02, 3801
33, 0.32, 2021-12-09 5:10:52.752오후, 20.05, 6.02, 3803
34, 0.33, 2021-12-09 5:10:52.762오후, 20.06, 6.01, 3788
35, 0.34, 2021-12-09 5:10:52.772오후, 20.05, 6.03, 3793
36, 0.35, 2021-12-09 5:10:52.782오후, 20.03, 6.01, 3800
37, 0.36, 2021-12-09 5:10:52.792오후, 19.98, 6.01, 3813
38, 0.37, 2021-12-09 5:10:52.802오후, 19.95, 6.01, 3804
39, 0.38, 2021-12-09 5:10:52.812오후, 19.89, 6.00, 3801
40, 0.39, 2021-12-09 5:10:52.822오후, 19.90, 6.02, 3796
41, 0.4, 2021-12-09 5:10:52.832오후, 19.90, 6.02, 3809
42, 0.41, 2021-12-09 5:10:52.842오후, 19.89, 6.03, 3793
43, 0.42, 2021-12-09 5:10:52.852오후, 19.89, 6.02, 3805
44, 0.43, 2021-12-09 5:10:52.862오후, 19.86, 6.02, 3805
