DATA_TYPE COF
VERSION Tekscan 압력 측정 시스템 7.00-23
HARDWARE 00114-A988
MAP_VERSION 8.0
HW_TYPE 7
VersaPogoFsx 0
VersaV6CuffFsx 1
파일 이름 C:\Tekscan\FScan\Database\MOVIES\이재영\04L.fsx
SENSOR_TYPE FSCAN
ROWS 60
COLS 21
ROW_SPACING 0.508 centimeters
COL_SPACING 0.508 centimeters
SENSEL_AREA 0.258064 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.01
MICRO_SECOND 1
TIME 2021-12-09 5:10:52.432오후
SATURATION_PRESSURE 816.499 KPa 
CALIBRATION_POINT_1 179 (Pounds) 9636 (Raw Sum) 372 (Number of Loaded Cells)
CALIBRATION_MODE_1 단계
CALIBRATION_INFO C:\Tekscan\FScan\Database\MOVIES\이재영\04L.fsx
SENSITIVITY 기본
MAP_INDEX 1
SUBMAP 1
START_FRAME 1
END_FRAME 11770
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

69, 0.68, 2021-12-09 5:10:53.112오후, 21.64, 5.24, 2781
70, 0.69, 2021-12-09 5:10:53.122오후, 21.63, 5.24, 2782
71, 0.7, 2021-12-09 5:10:53.132오후, 21.63, 5.24, 2786
72, 0.71, 2021-12-09 5:10:53.142오후, 21.64, 5.25, 2782
73, 0.72, 2021-12-09 5:10:53.152오후, 21.59, 5.25, 2785
74, 0.73, 2021-12-09 5:10:53.162오후, 21.61, 5.24, 2785
75, 0.74, 2021-12-09 5:10:53.172오후, 21.63, 5.24, 2782
76, 0.75, 2021-12-09 5:10:53.182오후, 21.58, 5.23, 2789
77, 0.76, 2021-12-09 5:10:53.192오후, 21.62, 5.24, 2787
78, 0.77, 2021-12-09 5:10:53.202오후, 21.61, 5.24, 2790
79, 0.78, 2021-12-09 5:10:53.212오후, 21.57, 5.23, 2789
80, 0.79, 2021-12-09 5:10:53.222오후, 21.53, 5.24, 2796
81, 0.8, 2021-12-09 5:10:53.232오후, 21.52, 5.24, 2804
82, 0.81, 2021-12-09 5:10:53.242오후, 21.53, 5.26, 2789
83, 0.82, 2021-12-09 5:10:53.252오후, 21.49, 5.24, 2796
84, 0.83, 2021-12-09 5:10:53.262오후, 21.48, 5.25, 2784
85, 0.84, 2021-12-09 5:10:53.272오후, 21.46, 5.23, 2798
86, 0.85, 2021-12-09 5:10:53.282오후, 21.49, 5.21, 2789
87, 0.86, 2021-12-09 5:10:53.292오후, 21.48, 5.22, 2789
