DATA_TYPE COF
VERSION Tekscan 압력 측정 시스템 7.00-23
HARDWARE 00114-A988
MAP_VERSION 8.0
HW_TYPE 7
VersaPogoFsx 0
VersaV6CuffFsx 1
파일 이름 C:\Tekscan\FScan\Database\MOVIES\이재영\02L.fsx
SENSOR_TYPE FSCAN
ROWS 60
COLS 21
ROW_SPACING 0.508 centimeters
COL_SPACING 0.508 centimeters
SENSEL_AREA 0.258064 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.01
MICRO_SECOND 1
TIME 2021-12-09 5:01:40.181오후
SATURATION_PRESSURE 816.499 KPa 
CALIBRATION_POINT_1 179 (Pounds) 9636 (Raw Sum) 372 (Number of Loaded Cells)
CALIBRATION_MODE_1 단계
CALIBRATION_INFO C:\Tekscan\FScan\Database\MOVIES\이재영\02L.fsx
SENSITIVITY 기본
MAP_INDEX 1
SUBMAP 1
START_FRAME 1
END_FRAME 10518
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

1, 0, 2021-12-09 5:01:40.181오후, 20.07, 5.09, 5349
2, 0.01, 2021-12-09 5:01:40.191오후, 20.04, 5.09, 5354
3, 0.02, 2021-12-09 5:01:40.201오후, 20.06, 5.09, 5353
4, 0.03, 2021-12-09 5:01:40.211오후, 20.05, 5.09, 5358
5, 0.04, 2021-12-09 5:01:40.221오후, 20.06, 5.09, 5355
6, 0.05, 2021-12-09 5:01:40.231오후, 20.06, 5.10, 5356
7, 0.06, 2021-12-09 5:01:40.241오후, 20.06, 5.09, 5350
8, 0.07, 2021-12-09 5:01:40.251오후, 20.07, 5.09, 5348
9, 0.08, 2021-12-09 5:01:40.261오후, 20.05, 5.10, 5368
10, 0.09, 2021-12-09 5:01:40.271오후, 20.07, 5.09, 5348
11, 0.1, 2021-12-09 5:01:40.281오후, 20.03, 5.09, 5366
12, 0.11, 2021-12-09 5:01:40.291오후, 20.05, 5.09, 5359
13, 0.12, 2021-12-09 5:01:40.301오후, 20.06, 5.08, 5359
14, 0.13, 2021-12-09 5:01:40.311오후, 20.06, 5.09, 5360
15, 0.14, 2021-12-09 5:01:40.321오후, 20.05, 5.09, 5362
16, 0.15, 2021-12-09 5:01:40.331오후, 20.04, 5.08, 5354
17, 0.16, 2021-12-09 5:01:40.341오후, 20.05, 5.08, 5347
18, 0.17, 2021-12-09 5:01:40.351오후, 20.04, 5.08, 5352
19, 0.18, 2021-12-09 5:01:40.361오후, 20.04, 5.08, 5346
20, 0.19, 2021-12-09 5:01:40.371오후, 20.03, 5.08, 5355
21, 0.2, 2021-12-09 5:01:40.381오후, 20.04, 5.08, 5361
22, 0.21, 2021-12-09 5:01:40.391오후, 20.03, 5.08, 5362
23, 0.22, 2021-12-09 5:01:40.401오후, 20.01, 5.07, 5374
24, 0.23, 2021-12-09 5:01:40.411오후, 20.03, 5.08, 5364
25, 0.24, 2021-12-09 5:01:40.421오후, 20.03, 5.08, 5361
26, 0.25, 2021-12-09 5:01:40.431오후, 19.98, 5.08, 5375
27, 0.26, 2021-12-09 5:01:40.441오후, 20.00, 5.08, 5365
28, 0.27, 2021-12-09 5:01:40.451오후, 20.04, 5.08, 5353
29, 0.28, 2021-12-09 5:01:40.461오후, 20.03, 5.08, 5359
30, 0.29, 2021-12-09 5:01:40.471오후, 20.04, 5.08, 5362
31, 0.3, 2021-12-09 5:01:40.481오후, 20.05, 5.08, 5363
32, 0.31, 2021-12-09 5:01:40.491오후, 20.05, 5.08, 5356
33, 0.32, 2021-12-09 5:01:40.501오후, 20.05, 5.08, 5357
34, 0.33, 2021-12-09 5:01:40.511오후, 20.00, 5.08, 5365
35, 0.34, 2021-12-09 5:01:40.521오후, 20.05, 5.08, 5348
36, 0.35, 2021-12-09 5:01:40.531오후, 20.02, 5.08, 5352
37, 0.36, 2021-12-09 5:01:40.541오후, 20.02, 5.08, 5362
38, 0.37, 2021-12-09 5:01:40.551오후, 20.02, 5.08, 5357
39, 0.38, 2021-12-09 5:01:40.561오후, 19.99, 5.08, 5351
40, 0.39, 2021-12-09 5:01:40.571오후, 19.97, 5.09, 5349
41, 0.4, 2021-12-09 5:01:40.581오후, 19.90, 5.08, 5368
42, 0.41, 2021-12-09 5:01:40.591오후, 19.91, 5.08, 5361
43, 0.42, 2021-12-09 5:01:40.601오후, 19.96, 5.08, 5349
44, 0.43, 2021-12-09 5:01:40.611오후, 19.91, 5.09, 5352
