17:40:59:124,3.74,-1.25,1.01
17:40:59:156,3.73,-1.26,1.04
17:40:59:176,3.72,-1.27,1.03
17:40:59:176,3.73,-1.26,1.02
17:40:59:207,3.71,-1.25,1.02
17:40:59:238,3.73,-1.29,1.01
17:40:59:244,3.75,-1.26,1.03
17:40:59:264,3.74,-1.28,1.02
17:40:59:280,3.73,-1.26,1.00
17:40:59:296,3.74,-1.25,1.01
17:40:59:300,3.73,-1.26,1.01
17:40:59:316,3.72,-1.24,1.06
17:40:59:332,3.73,-1.25,1.03
17:40:59:437,3.73,-1.24,1.05
17:40:59:469,3.77,-1.24,1.01
17:40:59:500,3.75,-1.25,1.03
17:40:59:601,3.74,-1.22,1.02
17:40:59:601,3.75,-1.23,1.01
17:40:59:616,3.75,-1.21,0.99
17:40:59:616,3.76,-1.18,1.05
17:40:59:676,3.74,-1.21,1.03
17:40:59:691,3.74,-1.23,1.03
17:40:59:707,3.74,-1.23,1.00
17:40:59:782,3.74,-1.22,1.00
17:40:59:803,3.73,-1.22,1.01
17:40:59:819,3.76,-1.24,1.03
17:40:59:819,3.73,-1.29,1.01
17:40:59:858,3.74,-1.26,1.02
17:40:59:865,3.77,-1.28,1.01
17:40:59:949,3.76,-1.27,1.05
17:40:59:949,3.75,-1.25,1.04
17:40:59:949,3.75,-1.23,1.04
17:40:59:949,3.76,-1.22,1.05
17:40:59:988,3.76,-1.22,1.04
17:41:0:25,3.75,-1.20,1.04
17:41:0:149,3.73,-1.20,1.03
17:41:0:149,3.74,-1.20,1.00
17:41:0:154,3.74,-1.20,1.01
17:41:0:190,3.72,-1.18,1.03
17:41:0:190,3.74,-1.20,1.01
17:41:0:210,3.73,-1.21,1.00
17:41:0:227,3.73,-1.23,1.03
17:41:0:327,3.72,-1.24,1.02
17:41:0:412,3.73,-1.25,1.01
17:41:0:457,3.74,-1.25,1.01
17:41:0:488,3.73,-1.25,1.02
17:41:0:519,3.72,-1.27,1.03
17:41:0:519,3.75,-1.25,1.03
17:41:0:562,3.73,-1.24,1.02
17:41:0:570,3.75,-1.25,1.02
17:41:0:588,3.74,-1.25,1.05
17:41:0:588,3.75,-1.25,1.06
17:41:0:690,3.76,-1.23,1.01
17:41:0:690,3.71,-1.24,1.04
17:41:0:690,3.76,-1.23,1.03
17:41:0:690,3.74,-1.22,1.02
17:41:0:724,3.73,-1.21,1.02
17:41:0:749,3.76,-1.20,1.02
17:41:0:750,3.75,-1.21,1.01
17:41:0:970,3.73,-1.21,1.03
17:41:0:970,3.76,-1.19,1.03
17:41:0:970,3.74,-1.17,1.03
17:41:1:71,3.75,-1.17,1.02
17:41:1:251,3.71,-1.20,0.99
17:41:1:251,3.73,-1.20,1.03
17:41:1:251,3.72,-1.20,1.01
17:41:1:314,3.73,-1.20,1.01
17:41:1:407,3.72,-1.21,1.03
17:41:1:407,3.73,-1.23,1.02
